擁有者,交易商,股票代碼,股票名稱,股數,幣別,取得價格,,,,
Justin,中信,2330.TW,台積電,1050,TWD,927.4,,,,
Justin,中信,2881.TW,富邦金,1347,TWD,55.45,,,,
Justin,中信,3587.TW,閎康,600,TWD,227.97,,,,
Justin,中信,6278.TW,台表科,600,TWD,103.25,,,,
Justin,中信,6488.TW,環球晶,100,TWD,700,,,,
Justin,永豐,0050.TW,元大台灣50,8599,TWD,51.53,,,,
Justin,永豐,00772B.TW,中信高評級公司債,2000,TWD,34.22,,,,
Justin,中信,MSFT,Microsoft,40,USD,211.9699,,,,
Justin,大昌,AMZN,Amazon,40,USD,161.125,,,,
Justin,大昌,ARKG,ArkGenomic ETF,330,USD,30.2674,,,,
Justin,大昌,GOOG,Alphabet-C,40,USD,239.202,,,,
Justin,大昌,PLTR,Palantir,285,USD,9.582,,,,
Justin,大昌,SE,Sea,45,USD,179.2594,,,,
Justin,永豐,VOO,S&P 500,22.81527,USD,570.06,,,,
Justin,Firstrade,AMZN,Amazon,10,USD,183.73,,,,
Justin,Firstrade,CRSP,Crisp,36,USD,57.94,,,,
Justin,Firstrade,DIS,Disney,15,USD,156.66,,,,
Justin,Firstrade,GOOG,Alphabet-C,12,USD,244.46,,,,
Justin,Firstrade,IAU,Gold ETF,5,USD,94.14,,,,
Justin,Firstrade,ILMN,Ilumina,23,USD,127.39,,,,
Justin,Firstrade,META,Meta,1,USD,622.57,,,,
Justin,Firstrade,NVDA,nVidia,10,USD,131.78,,,,
Justin,Firstrade,TSLA,Tesla,3,USD,388.01,,,,